Category,Name,Link
Document,HuBMAP Dictionary,https://docs.google.com/document/d/1QhxfvoB0g5_EA6COje74z58xQxyEos7nlhc8-_eSFx4/edit
GitHub,ASCT+B Reporter,https://hubmapconsortium.github.io/ccf-asct-reporter/
Weblink,Gerdes et al. 2013,https://www.zotero.org/google-docs/?jp9sVk
GitHub,"The Human Reference Atlas: High-Resolution, Functional Mapping of Voxel, Vector, and Meta Datasets",https://hubmapconsortium.github.io/ccf/
Weblink,HuBMAP CCF Exploration User Interface,https://portal.hubmapconsortium.org/ccf-eui
Weblink,FBX binary file format specification — Blender Developers Blog,https://code.blender.org/2013/08/fbx-binary-file-format-specification/
Weblink,"How to ""flatten"" or ""collapse"" a 2D Excel table into 1D?",https://stackoverflow.com/questions/687470/how-to-flatten-or-collapse-a-2d-excel-table-into-1d
Weblink,GLB file format,https://docs.fileformat.com/3d/glb/
Weblink,Common Fund at the National Institutes of Health,https://commonfund.nih.gov/HuBMAP
Weblink,Giesen et al. 2014,https://www.zotero.org/google-docs/?nz0k8X
Weblink,Saka et al. 2019,https://www.zotero.org/google-docs/?ZhRkYy
Weblink,Radtke et al. 2020; Radtke et al. 2022,https://www.zotero.org/google-docs/?XFq17O
Weblink,"Gut, Herrmann, and Pelkmans 2018",https://www.zotero.org/google-docs/?UjjFqj
Weblink,Kinkhabwala et al. 2022; Schäfer et al. 2021,https://www.zotero.org/google-docs/?smDhiT
Weblink,Angelo et al. 2014; Lomeli et al. 2021,https://www.zotero.org/google-docs/?gbpjP6
Weblink,OBJ file format,https://www.cs.cmu.edu/~mbz/personal/graphics/obj.html
Weblink,Open Researcher and Contributor ID (ORCiD),https://orcid.org/
Weblink,Protégé,https://protege.stanford.edu/
SOP,3D Reference Object Approval ,https://docs.google.com/document/d/1NAISyfVlvXsLLhED0-d-IbIjfTJDzd89VfMqMFGK8Qc/edit#heading=h.cd53uti4az4
SOP,Registration User Interface (RUI),https://hubmap-ccf-ui.netlify.app/rui/
SOP,Research Resource Identifiers (RRIDs),https://www.rrids.org/
SOP,Resource Description Framework Schema (RDFS),https://www.w3.org/TR/rdf-schema/#ch_label
SOP,ROBOT,http://robot.obolibrary.org/
Weblink,Gamble and Anderton 2016,https://www.zotero.org/google-docs/?I88Hpg
Weblink,"Lin et al. 2018; Lin, Fallahi-Sichani, and Sorger 2015",https://www.zotero.org/google-docs/?hGMGMz
Weblink,Web Ontology Language (.OWL)  file format,https://www.w3.org/OWL/
